name,sname,m,n,K_f,K_l,K_q,K_s,fp,fd,fL,fU,fU-fL,mu_fU_fL,ts,tL,tL/ts,tU,tU/ts
truss3,sedumi,27,91,0,1,0,1,9.11,9.11,9.11,9.11,1.8417e-07,2.0216e-08,0.61277,0.74941,1.223,0.76819,1.2536
truss4,csdp,12,37,0,1,0,1,9.01,9.01,9.01,9.01,6.5435e-08,7.2625e-09,0.040678,0.1862,4.5775,0.070666,1.7372
truss4,sdpa,12,37,0,1,0,1,9.01,9.01,-Inf,9.012,Inf,NaN,0.069679,1.8616,26.7169,0.80021,11.4843
truss4,sdpt3,12,37,0,1,0,1,9.01,9.01,9.01,9.01,3.1552e-07,3.5019e-08,1.3642,0.063734,0.046718,1.5458,1.1331
truss4,sedumi,12,37,0,1,0,1,9.01,9.01,9.01,9.01,1.0624e-07,1.1791e-08,0.62933,0.80901,1.2855,0.82399,1.3093
truss5,csdp,208,1816,0,1,0,1,132.6357,132.6357,132.6357,132.6357,1.407e-06,1.0608e-08,2.1947,2.9161,1.3287,0.34863,0.15885
truss5,sdpa,208,1816,0,1,0,1,132.6,132.6748,130.2427,133.2,2.9573,0.022451,3.0654,10.7858,3.5186,14.4493,4.7138
truss5,sdpt3,208,1816,0,1,0,1,132.6357,132.6357,132.6357,132.6357,1.8331e-07,1.3821e-09,7.2741,0.34253,0.047088,17.3962,2.3915
truss5,sedumi,208,1816,0,1,0,1,132.6357,132.6357,132.6357,132.6357,1.9865e-06,1.4977e-08,5.7185,5.1195,0.89525,5.0533,0.88368
truss6,csdp,172,901,0,1,0,1,901.0015,901.0014,901.0014,Inf,Inf,NaN,7.4885,1.4231,0.19004,9.15,1.2219
truss6,sdpa,172,901,0,1,0,1,901,901,892.202,901.7,9.498,0.010589,7.7375,96.1287,12.4237,29.9836,3.8751
truss6,sdpt3,172,901,0,1,0,1,901.0015,901.0013,901.0013,Inf,Inf,NaN,452.6801,1.4862,0.0032832,414.8758,0.91649
truss6,sedumi,172,901,0,1,0,1,901.0014,901.0014,901.0014,901.0014,1.5788e-05,1.7523e-08,54.2863,1.4806,0.027274,59.3047,1.0924
truss7,csdp,86,451,0,1,0,1,900.0014,900.0014,900.0014,Inf,Inf,NaN,4.168,1.4191,0.34047,5.7927,1.3898
truss7,sdpa,86,451,0,1,0,1,900,900,898.3,900.7021,2.4021,0.0026705,4.0138,52.6746,13.1233,24.2902,6.0516
truss7,sdpt3,86,451,0,1,0,1,900.0016,900.0014,900.0014,Inf,Inf,NaN,235.7129,1.4761,0.0062621,235.6229,0.99962
truss7,sedumi,86,451,0,1,0,1,900.0014,900.0014,900.0014,900.0015,6.4415e-05,7.1572e-08,124.2776,1.4678,0.01181,346.0994,2.7849
truss8,csdp,496,6271,0,1,0,1,133.1146,133.1146,133.1146,133.1146,2.6295e-07,1.9754e-09,5.9307,6.6782,1.1261,0.37797,0.063732
truss8,sdpa,496,6271,0,1,0,1,133.1,133.1332,122.7035,133.7,10.9965,0.085775,8.8846,18.9099,2.1284,47.5619,5.3533
truss8,sdpt3,496,6271,0,1,0,1,133.1146,133.1146,133.1146,133.1146,2.5137e-07,1.8883e-09,10.3107,0.3529,0.034227,22.172,2.1504
truss8,sedumi,496,6271,0,1,0,1,133.1146,133.1146,133.1146,133.1146,1.9578e-06,1.4708e-08,5.6719,6.5001,1.146,12.6848,2.2364
